Dateline Standard Time | (UTC-12:00) International Date Line West | -12:00:00 | Dateline Standard Time
UTC-11 | (UTC-11:00) Coordinated Universal Time-11 | -11:00:00 | UTC-11
Aleutian Standard Time | (UTC-10:00) Aleutian Islands | -10:00:00 | Aleutian Standard Time
Hawaiian Standard Time | (UTC-10:00) Hawaii | -10:00:00 | Hawaiian Standard Time
Marquesas Standard Time | (UTC-09:30) Marquesas Islands | -09:30:00 | Marquesas Standard Time
Alaskan Standard Time | (UTC-09:00) Alaska | -09:00:00 | Alaskan Standard Time
UTC-09 | (UTC-09:00) Coordinated Universal Time-09 | -09:00:00 | UTC-09
Pacific Standard Time (Mexico) | (UTC-08:00) Baja California | -08:00:00 | Pacific Standard Time (Mexico)
UTC-08 | (UTC-08:00) Coordinated Universal Time-08 | -08:00:00 | UTC-08
Pacific Standard Time | (UTC-08:00) Pacific Time (US & Canada) | -08:00:00 | Pacific Standard Time
US Mountain Standard Time | (UTC-07:00) Arizona | -07:00:00 | US Mountain Standard Time
Mountain Standard Time (Mexico) | (UTC-07:00) La Paz, Mazatlan | -07:00:00 | Mountain Standard Time (Mexico)
Mountain Standard Time | (UTC-07:00) Mountain Time (US & Canada) | -07:00:00 | Mountain Standard Time
Yukon Standard Time | (UTC-07:00) Yukon | -07:00:00 | Yukon Standard Time
Central America Standard Time | (UTC-06:00) Central America | -06:00:00 | Central America Standard Time
Central Standard Time | (UTC-06:00) Central Time (US & Canada) | -06:00:00 | Central Standard Time
Easter Island Standard Time | (UTC-06:00) Easter Island | -06:00:00 | Easter Island Standard Time
Central Standard Time (Mexico) | (UTC-06:00) Guadalajara, Mexico City, Monterrey | -06:00:00 | Central Standard Time (Mexico)
Canada Central Standard Time | (UTC-06:00) Saskatchewan | -06:00:00 | Canada Central Standard Time
SA Pacific Standard Time | (UTC-05:00) Bogota, Lima, Quito, Rio Branco | -05:00:00 | SA Pacific Standard Time
Eastern Standard Time (Mexico) | (UTC-05:00) Chetumal | -05:00:00 | Eastern Standard Time (Mexico)
Eastern Standard Time | (UTC-05:00) Eastern Time (US & Canada) | -05:00:00 | Eastern Standard Time
Haiti Standard Time | (UTC-05:00) Haiti | -05:00:00 | Haiti Standard Time
Cuba Standard Time | (UTC-05:00) Havana | -05:00:00 | Cuba Standard Time
US Eastern Standard Time | (UTC-05:00) Indiana (East) | -05:00:00 | US Eastern Standard Time
Turks And Caicos Standard Time | (UTC-05:00) Turks and Caicos | -05:00:00 | Turks and Caicos Standard Time
Atlantic Standard Time | (UTC-04:00) Atlantic Time (Canada) | -04:00:00 | Atlantic Standard Time
Venezuela Standard Time | (UTC-04:00) Caracas | -04:00:00 | Venezuela Standard Time
Central Brazilian Standard Time | (UTC-04:00) Cuiaba | -04:00:00 | Central Brazilian Standard Time
SA Western Standard Time | (UTC-04:00) Georgetown, La Paz, Manaus, San Juan | -04:00:00 | SA Western Standard Time
Pacific SA Standard Time | (UTC-04:00) Santiago | -04:00:00 | Pacific SA Standard Time
Newfoundland Standard Time | (UTC-03:30) Newfoundland | -03:30:00 | Newfoundland Standard Time
Tocantins Standard Time | (UTC-03:00) Araguaina | -03:00:00 | Tocantins Standard Time
Paraguay Standard Time | (UTC-03:00) Asuncion | -03:00:00 | Paraguay Standard Time
E. South America Standard Time | (UTC-03:00) Brasilia | -03:00:00 | E. South America Standard Time
SA Eastern Standard Time | (UTC-03:00) Cayenne, Fortaleza | -03:00:00 | SA Eastern Standard Time
Argentina Standard Time | (UTC-03:00) City of Buenos Aires | -03:00:00 | Argentina Standard Time
Montevideo Standard Time | (UTC-03:00) Montevideo | -03:00:00 | Montevideo Standard Time
Magallanes Standard Time | (UTC-03:00) Punta Arenas | -03:00:00 | Magallanes Standard Time
Saint Pierre Standard Time | (UTC-03:00) Saint Pierre and Miquelon | -03:00:00 | Saint Pierre Standard Time
Bahia Standard Time | (UTC-03:00) Salvador | -03:00:00 | Bahia Standard Time
UTC-02 | (UTC-02:00) Coordinated Universal Time-02 | -02:00:00 | UTC-02
Greenland Standard Time | (UTC-02:00) Greenland | -02:00:00 | Greenland Standard Time
Mid-Atlantic Standard Time | (UTC-02:00) Mid-Atlantic - Old | -02:00:00 | Mid-Atlantic Standard Time
Azores Standard Time | (UTC-01:00) Azores | -01:00:00 | Azores Standard Time
Cape Verde Standard Time | (UTC-01:00) Cabo Verde Is. | -01:00:00 | Cabo Verde Standard Time
UTC | (UTC) Coordinated Universal Time | 00:00:00 | Coordinated Universal Time
GMT Standard Time | (UTC+00:00) Dublin, Edinburgh, Lisbon, London | 00:00:00 | GMT Standard Time
Greenwich Standard Time | (UTC+00:00) Monrovia, Reykjavik | 00:00:00 | Greenwich Standard Time
Sao Tome Standard Time | (UTC+00:00) Sao Tome | 00:00:00 | Sao Tome Standard Time
Morocco Standard Time | (UTC+01:00) Casablanca | 00:00:00 | Morocco Standard Time
W. Europe Standard Time | (UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna | 01:00:00 | W. Europe Standard Time
Central Europe Standard Time | (UTC+01:00) Belgrade, Bratislava, Budapest, Ljubljana, Prague | 01:00:00 | Central Europe Standard Time
Romance Standard Time | (UTC+01:00) Brussels, Copenhagen, Madrid, Paris | 01:00:00 | Romance Standard Time
Central European Standard Time | (UTC+01:00) Sarajevo, Skopje, Warsaw, Zagreb | 01:00:00 | Central European Standard Time
W. Central Africa Standard Time | (UTC+01:00) West Central Africa | 01:00:00 | W. Central Africa Standard Time
GTB Standard Time | (UTC+02:00) Athens, Bucharest | 02:00:00 | GTB Standard Time
Middle East Standard Time | (UTC+02:00) Beirut | 02:00:00 | Middle East Standard Time
Egypt Standard Time | (UTC+02:00) Cairo | 02:00:00 | Egypt Standard Time
E. Europe Standard Time | (UTC+02:00) Chisinau | 02:00:00 | E. Europe Standard Time
West Bank Standard Time | (UTC+02:00) Gaza, Hebron | 02:00:00 | West Bank Gaza Standard Time
South Africa Standard Time | (UTC+02:00) Harare, Pretoria | 02:00:00 | South Africa Standard Time
FLE Standard Time | (UTC+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius | 02:00:00 | FLE Standard Time
Israel Standard Time | (UTC+02:00) Jerusalem | 02:00:00 | Jerusalem Standard Time
South Sudan Standard Time | (UTC+02:00) Juba | 02:00:00 | South Sudan Standard Time
Kaliningrad Standard Time | (UTC+02:00) Kaliningrad | 02:00:00 | Russia TZ 1 Standard Time
Sudan Standard Time | (UTC+02:00) Khartoum | 02:00:00 | Sudan Standard Time
Libya Standard Time | (UTC+02:00) Tripoli | 02:00:00 | Libya Standard Time
Namibia Standard Time | (UTC+02:00) Windhoek | 02:00:00 | Namibia Standard Time
Jordan Standard Time | (UTC+03:00) Amman | 03:00:00 | Jordan Standard Time
Arabic Standard Time | (UTC+03:00) Baghdad | 03:00:00 | Arabic Standard Time
Syria Standard Time | (UTC+03:00) Damascus | 03:00:00 | Syria Standard Time
Turkey Standard Time | (UTC+03:00) Istanbul | 03:00:00 | Turkey Standard Time
Arab Standard Time | (UTC+03:00) Kuwait, Riyadh | 03:00:00 | Arab Standard Time
Belarus Standard Time | (UTC+03:00) Minsk | 03:00:00 | Belarus Standard Time
Russian Standard Time | (UTC+03:00) Moscow, St. Petersburg | 03:00:00 | Russia TZ 2 Standard Time
E. Africa Standard Time | (UTC+03:00) Nairobi | 03:00:00 | E. Africa Standard Time
Volgograd Standard Time | (UTC+03:00) Volgograd | 03:00:00 | Volgograd Standard Time
Iran Standard Time | (UTC+03:30) Tehran | 03:30:00 | Iran Standard Time
Arabian Standard Time | (UTC+04:00) Abu Dhabi, Muscat | 04:00:00 | Arabian Standard Time
Astrakhan Standard Time | (UTC+04:00) Astrakhan, Ulyanovsk | 04:00:00 | Astrakhan Standard Time
Azerbaijan Standard Time | (UTC+04:00) Baku | 04:00:00 | Azerbaijan Standard Time
Russia Time Zone 3 | (UTC+04:00) Izhevsk, Samara | 04:00:00 | Russia TZ 3 Standard Time
Mauritius Standard Time | (UTC+04:00) Port Louis | 04:00:00 | Mauritius Standard Time
Saratov Standard Time | (UTC+04:00) Saratov | 04:00:00 | Saratov Standard Time
Georgian Standard Time | (UTC+04:00) Tbilisi | 04:00:00 | Georgian Standard Time
Caucasus Standard Time | (UTC+04:00) Yerevan | 04:00:00 | Caucasus Standard Time
Afghanistan Standard Time | (UTC+04:30) Kabul | 04:30:00 | Afghanistan Standard Time
West Asia Standard Time | (UTC+05:00) Ashgabat, Tashkent | 05:00:00 | West Asia Standard Time
Qyzylorda Standard Time | (UTC+05:00) Astana | 05:00:00 | Qyzylorda Standard Time
Ekaterinburg Standard Time | (UTC+05:00) Ekaterinburg | 05:00:00 | Russia TZ 4 Standard Time
